"Subject","HAP","P","LAP","LA","LAN","N","HAN","HA"
"DND001",NA,NA,NA,NA,NA,NA,NA,NA
"DND002",NA,NA,NA,NA,NA,NA,NA,NA
"DND003",NA,NA,NA,NA,NA,NA,NA,NA
"DND004",NA,NA,NA,NA,NA,NA,NA,NA
"DND005",3.33333333333333,4,4,1.33333333333333,2.33333333333333,2,1.66666666666667,2.66666666666667
"DND006",3.33333333333333,4,1.66666666666667,2,1.66666666666667,1,1.33333333333333,2
"DND007",3.66666666666667,4,3.66666666666667,2.66666666666667,2,1.33333333333333,1.33333333333333,2.66666666666667
"DND008",NA,NA,NA,NA,NA,NA,NA,NA
"DND009",NA,NA,NA,NA,NA,NA,NA,NA
"DND010",NA,NA,NA,NA,NA,NA,NA,NA
"DND011",3.33333333333333,4.33333333333333,4,2.33333333333333,2,1.66666666666667,2,3
"DND012",2.33333333333333,3,2.33333333333333,1,1.66666666666667,1.33333333333333,1.33333333333333,1.66666666666667
"DND013",4,4.33333333333333,4,2.66666666666667,2.33333333333333,1.66666666666667,1.66666666666667,3.33333333333333
"DND014",2,3,3.33333333333333,2.66666666666667,2.33333333333333,2,2.33333333333333,2.66666666666667
"DND015",NA,NA,NA,NA,NA,NA,NA,NA
"DND016",2.33333333333333,3,3,2.33333333333333,2.33333333333333,2,1.66666666666667,2
"DND017",NA,NA,NA,NA,NA,NA,NA,NA
"DND018",3,4.33333333333333,4,2.33333333333333,2,1.66666666666667,1,2
"DND019",3.33333333333333,4,4,1.66666666666667,2,1.33333333333333,1,2.66666666666667
"DND020",NA,NA,NA,NA,NA,NA,NA,NA
"DND021",3.66666666666667,3.66666666666667,4.33333333333333,3,2.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333
"DND022",2,4,4.33333333333333,2.33333333333333,1.33333333333333,1.66666666666667,1,1.33333333333333
"DND023",1.66666666666667,3,2.66666666666667,2.33333333333333,2.66666666666667,2.66666666666667,1,1.66666666666667
"DND024",NA,NA,NA,NA,NA,NA,NA,NA
"DND025",NA,NA,NA,NA,NA,NA,NA,NA
"DND026",NA,NA,NA,NA,NA,NA,NA,NA
"DND027",3.33333333333333,4,3.66666666666667,3,2.66666666666667,2,2.33333333333333,3
"DND028",NA,NA,NA,NA,NA,NA,NA,NA
"DND029",2,4,3,1,2.33333333333333,1.66666666666667,1,1.33333333333333
"DND030",2.66666666666667,4,2.66666666666667,2.33333333333333,2,1.33333333333333,2,1.66666666666667
"DND031",3.66666666666667,4,3.33333333333333,2,2,1,1,2.66666666666667
"DND032",2.66666666666667,4,4,2,2,2,1.66666666666667,2
"DND033",3.66666666666667,5,3.33333333333333,1,2,1.66666666666667,1.66666666666667,2
"DND034",2,2.33333333333333,2.33333333333333,1.66666666666667,2.66666666666667,1,1.33333333333333,1.66666666666667
"DND035",NA,NA,NA,NA,NA,NA,NA,NA
"DND036",NA,NA,NA,NA,NA,NA,NA,NA
"DND037",2.33333333333333,4,4,2.33333333333333,2,1.66666666666667,1.33333333333333,2.33333333333333
"DND038",NA,NA,NA,NA,NA,NA,NA,NA
"DND039",2,4,3.66666666666667,2,2.66666666666667,1.33333333333333,1.33333333333333,1.66666666666667
"DND040",2.33333333333333,4.33333333333333,3.66666666666667,2,1.66666666666667,1.66666666666667,1,1.33333333333333
"DND041",2,3.33333333333333,3,1.66666666666667,2.33333333333333,1.33333333333333,1.33333333333333,2
"DND042",2,2.33333333333333,2.66666666666667,2,2.33333333333333,2,1.66666666666667,1.66666666666667
"DND043",2.66666666666667,4.33333333333333,4.33333333333333,1.33333333333333,1.66666666666667,1.33333333333333,1,2.33333333333333
"DND044",2,2.33333333333333,3,2.66666666666667,2,2,2,2.66666666666667
"DND045",3.33333333333333,4,4,2,2,1,1.33333333333333,2
"DND046",2,4,4,3.66666666666667,2.66666666666667,1.33333333333333,1,1.33333333333333
"DND047",NA,NA,NA,NA,NA,NA,NA,NA
"DND048",2,3,2,2.66666666666667,3.66666666666667,3,3,3
"DND049",NA,NA,NA,NA,NA,NA,NA,NA
"DND050",3,3.33333333333333,3,1.66666666666667,2,2,1,2
"DND051",NA,NA,NA,NA,NA,NA,NA,NA
"DND052",2.66666666666667,3.33333333333333,4,2.66666666666667,2.33333333333333,2.33333333333333,1.33333333333333,2.33333333333333
"DND053",NA,NA,NA,NA,NA,NA,NA,NA
"DND054",NA,NA,NA,NA,NA,NA,NA,NA
"DND055",NA,NA,NA,NA,NA,NA,NA,NA
"DND056",NA,NA,NA,NA,NA,NA,NA,NA
"DND057",1.33333333333333,3,3,2,2.33333333333333,1,1,1
"DND058",5,5,4.33333333333333,2,1,1,1,3.66666666666667
"DND059",NA,NA,NA,NA,NA,NA,NA,NA
"DND060",3.66666666666667,3.66666666666667,3.66666666666667,1.66666666666667,2,2.33333333333333,2,2.33333333333333
"DND061",NA,NA,NA,NA,NA,NA,NA,NA
"DND062",3.33333333333333,4,4,2,2,2,1.33333333333333,2
"DND063",NA,NA,NA,NA,NA,NA,NA,NA
"DND064",NA,NA,NA,NA,NA,NA,NA,NA
"DND065",3.33333333333333,4,3.66666666666667,2,1.66666666666667,1.66666666666667,1,3
"DND066",NA,NA,NA,NA,NA,NA,NA,NA
"DND067",NA,NA,NA,NA,NA,NA,NA,NA
"DND068",NA,NA,NA,NA,NA,NA,NA,NA
"DND069",2.33333333333333,4,4,3,3,1.66666666666667,1.66666666666667,2.33333333333333
"DND070",2,3,3.66666666666667,2.33333333333333,2.66666666666667,2.33333333333333,2,2.33333333333333
"DND071",NA,NA,NA,NA,NA,NA,NA,NA
"DND072",3.66666666666667,5,3.66666666666667,1.33333333333333,2,1,1,2.33333333333333
"DND073",2,3.33333333333333,3.33333333333333,2,2,2,1.66666666666667,1.66666666666667
"DND074",2.66666666666667,2.33333333333333,2.66666666666667,1.66666666666667,1.66666666666667,2.66666666666667,1.66666666666667,2.33333333333333
"DND075",3,3.33333333333333,3,1,1.33333333333333,1,1,1.33333333333333
"DND076",NA,NA,NA,NA,NA,NA,NA,NA
"DND077",1.66666666666667,2.66666666666667,2.66666666666667,1.66666666666667,2,2,1.66666666666667,1.33333333333333
"DND078",3,4,4,2.33333333333333,1.66666666666667,2,2,2
"DND079",NA,NA,NA,NA,NA,NA,NA,NA
"DND080",2.66666666666667,4.33333333333333,4.66666666666667,2.66666666666667,2,1.66666666666667,1.33333333333333,1.66666666666667
"DND081",NA,NA,NA,NA,NA,NA,NA,NA
"DND082",NA,NA,NA,NA,NA,NA,NA,NA
"DND083",2.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333,3.33333333333333,2.33333333333333,2,2
"DND084",3.66666666666667,4,3,2.33333333333333,2,1.33333333333333,2.33333333333333,2.33333333333333
"DND085",NA,NA,NA,NA,NA,NA,NA,NA
"DND086",NA,NA,NA,NA,NA,NA,NA,NA
"DND087",2.33333333333333,4.66666666666667,4.33333333333333,2,2.33333333333333,2,1.33333333333333,2
"DND088",2.66666666666667,4.33333333333333,4,2,3,2.33333333333333,1,1.33333333333333
"DND089",3,3,3.66666666666667,2,2.33333333333333,3,2.33333333333333,2
