rois,png
 Superior temporal gyrus anterior part, Superior temporal gyrus anterior part.png
Amygdala,Amygdala.png
Anterior temporal lobe lateral part,Anterior temporal lobe lateral part.png
Anterior temporal lobe medial part,Anterior temporal lobe medial part.png
Caudate nucleus,Caudate nucleus.png
Fusiform gyrus,Fusiform gyrus.png
Hippocampus,Hippocampus.png
Insula,Insula.png
Medial orbital gyrus,Medial orbital gyrus.png
Middle and inferior temporal gyrus,Middle and inferior temporal gyrus.png
Pallidum,Pallidum.png
Parahippocampal and ambient gyri,Parahippocampal and ambient gyri.png
Posterior orbital gyrus,Posterior orbital gyrus.png
Posterior temporal lobe,Posterior temporal lobe.png
Pre-subgenual frontal cortex,Pre-subgenual frontal cortex.png
Putamen,Putamen.png
Straight gyrus,Straight gyrus.png
Subcallosal area,Subcallosal area.png
Subgenual frontal cortex,Subgenual frontal cortex.png
Superior temporal gyrus posterior part,Superior temporal gyrus posterior part.png
Thalamus,Thalamus.png
Ventral striatum,Ventral striatum.png
Anterior orbital gyrus,Anterior orbital gyrus.png
Cingulate gyrus anterior part,Cingulate gyrus anterior.png
Cingulate gyrus posterior part,Cingulate gyrus posterior.png
Inferiolateral remainder of parietal lobe,Inferiolateral remainder of parietal lobe.png
Inferior frontal gyrus,Inferior frontal gyrus.png
Lateral orbital gyrus,Lateral orbital gyrus.png
Middle frontal gyrus,Middle frontal gyrus.png
Postcentral gyrus,Postcentral gyrus.png
Precentral gyrus,Precentral gyrus.png
Superior frontal gyrus,Superior frontal gyrus.png
Superior parietal gyrus,Superior parietal gyrus.png
