"Parameter","Anterior orbital gyrus","Cingulate gyrus, anterior","Inferior frontal gyrus","Lateral orbital gyrus","Middle frontal gyrus","Superior frontal gyrus"
"129","129","130","128","125","124","121"
"StudySV","-0.47 [ -0.58 , -0.36 ]","-0.4 [ -0.47 , -0.32 ]","-0.54 [ -0.63 , -0.44 ]","-0.45 [ -0.57 , -0.32 ]","-0.46 [ -0.57 , -0.36 ]","-0.58 [ -0.66 , -0.51 ]"
"SexM","0.013 [ -0.092 , 0.12 ]","0.011 [ -0.058 , 0.08 ]","-0.005 [ -0.098 , 0.088 ]","-0.031 [ -0.15 , 0.089 ]","-0.026 [ -0.12 , 0.072 ]","0.053 [ -0.016 , 0.12 ]"
"R2 ","0.354***","0.48***","0.488***","0.284***","0.394***","0.683***"
"StudySV","-0.42 [ -0.52 , -0.31 ]","-0.37 [ -0.44 , -0.3 ]","-0.49 [ -0.58 , -0.4 ]","-0.37 [ -0.49 , -0.26 ]","-0.41 [ -0.5 , -0.32 ]","-0.55 [ -0.63 , -0.48 ]"
"SexM","0.0035 [ -0.096 , 0.1 ]","0.0068 [ -0.059 , 0.072 ]","-0.02 [ -0.11 , 0.067 ]","-0.052 [ -0.16 , 0.057 ]","-0.031 [ -0.12 , 0.058 ]","0.048 [ -0.019 , 0.11 ]"
"Age","-0.0063 [ -0.0093 , -0.0034 ]","-0.0037 [ -0.0056 , -0.0018 ]","-0.0059 [ -0.0085 , -0.0033 ]","-0.0082 [ -0.011 , -0.005 ]","-0.0068 [ -0.0095 , -0.0042 ]","-0.0033 [ -0.0053 , -0.0013 ]"
"R2 change ","0.079***","0.052***","0.071***","0.122***","0.109***","0.027**"
"StudySV","-0.43 [ -0.53 , -0.32 ]","-0.37 [ -0.44 , -0.3 ]","-0.5 [ -0.59 , -0.41 ]","-0.39 [ -0.5 , -0.27 ]","-0.42 [ -0.51 , -0.33 ]","-0.56 [ -0.63 , -0.49 ]"
"SexM","0.0033 [ -0.092 , 0.099 ]","0.0088 [ -0.056 , 0.073 ]","-0.01 [ -0.093 , 0.072 ]","-0.049 [ -0.15 , 0.057 ]","-0.027 [ -0.11 , 0.057 ]","0.049 [ -0.015 , 0.11 ]"
"Age","-0.035 [ -0.053 , -0.018 ]","-0.014 [ -0.026 , -0.003 ]","-0.035 [ -0.05 , -0.02 ]","-0.038 [ -0.056 , -0.019 ]","-0.034 [ -0.049 , -0.019 ]","-0.023 [ -0.034 , -0.012 ]"
"Age2","0.00031 [ 0.00012 , 0.00049 ]","0.00011 [ -5.9e-06 , 0.00023 ]","0.00031 [ 0.00015 , 0.00046 ]","0.00031 [ 0.00012 , 5e-04 ]","0.00028 [ 0.00013 , 0.00044 ]","0.00021 [ 8.9e-05 , 0.00032 ]"
"R2 change","0.045**","0.013","0.049***","0.046**","0.048***","0.027***"
