"Parameter","Anterior orbital gyrus","Inferior frontal gyrus","Lateral orbital gyrus","Medial orbital gyrus","Middle frontal gyrus","Posterior orbital gyrus","Pre-subgenual frontal cortex","Precentral gyrus","Straight gyrus","Subcallosal area","Subgenual frontal cortex","Superior frontal gyrus"
"StudySV","-0.47 [ -0.58 , -0.36 ]","-0.54 [ -0.63 , -0.44 ]","-0.45 [ -0.57 , -0.32 ]","-0.42 [ -0.54 , -0.3 ]","-0.46 [ -0.57 , -0.36 ]","-0.41 [ -0.53 , -0.28 ]","-0.22 [ -0.3 , -0.14 ]","-0.4 [ -0.47 , -0.32 ]","-0.47 [ -0.6 , -0.33 ]","1.8 [ 0.32 , 3.2 ]","-0.82 [ -0.96 , -0.67 ]","-0.58 [ -0.66 , -0.51 ]"
"SexM","0.013 [ -0.092 , 0.12 ]","-0.005 [ -0.098 , 0.088 ]","-0.031 [ -0.15 , 0.089 ]","0.053 [ -0.061 , 0.17 ]","-0.026 [ -0.12 , 0.072 ]","0.0092 [ -0.11 , 0.13 ]","-0.0033 [ -0.081 , 0.074 ]","-0.0054 [ -0.08 , 0.069 ]","0.057 [ -0.075 , 0.19 ]","-0.51 [ -1.9 , 0.86 ]","-0.035 [ -0.17 , 0.1 ]","0.053 [ -0.016 , 0.12 ]"
"R2 ","0.354***","0.488***","0.284***","0.283***","0.394***","0.252***","0.184***","0.494***","0.263***","0.039*","0.506***","0.683***"
"StudySV","-0.42 [ -0.52 , -0.31 ]","-0.49 [ -0.58 , -0.4 ]","-0.37 [ -0.49 , -0.26 ]","-0.38 [ -0.49 , -0.26 ]","-0.41 [ -0.5 , -0.32 ]","-0.37 [ -0.5 , -0.25 ]","-0.21 [ -0.29 , -0.13 ]","-0.38 [ -0.45 , -0.3 ]","-0.41 [ -0.55 , -0.28 ]","2 [ 0.54 , 3.5 ]","-0.77 [ -0.91 , -0.63 ]","-0.55 [ -0.63 , -0.48 ]"
"SexM","0.0035 [ -0.096 , 0.1 ]","-0.02 [ -0.11 , 0.067 ]","-0.052 [ -0.16 , 0.057 ]","0.04 [ -0.07 , 0.15 ]","-0.031 [ -0.12 , 0.058 ]","0.003 [ -0.11 , 0.12 ]","-0.0054 [ -0.083 , 0.072 ]","-0.011 [ -0.085 , 0.063 ]","0.047 [ -0.079 , 0.17 ]","-0.58 [ -1.9 , 0.79 ]","-0.047 [ -0.18 , 0.086 ]","0.048 [ -0.019 , 0.11 ]"
"Age","-0.0063 [ -0.0093 , -0.0034 ]","-0.0059 [ -0.0085 , -0.0033 ]","-0.0082 [ -0.011 , -0.005 ]","-0.0057 [ -0.009 , -0.0024 ]","-0.0068 [ -0.0095 , -0.0042 ]","-0.0043 [ -0.0078 , -0.00086 ]","-0.0016 [ -0.0039 , 7e-04 ]","-0.0024 [ -0.0046 , -2e-04 ]","-0.007 [ -0.011 , -0.0032 ]","-0.031 [ -0.071 , 0.0087 ]","-0.0067 [ -0.011 , -0.0027 ]","-0.0033 [ -0.0053 , -0.0013 ]"
"R2 change ","0.079***","0.071***","0.122***","0.063***","0.109***","0.036*","0.012","0.022*","0.072***","0.019","0.042**","0.027**"
"StudySV","-0.43 [ -0.53 , -0.32 ]","-0.5 [ -0.59 , -0.41 ]","-0.39 [ -0.5 , -0.27 ]","-0.39 [ -0.5 , -0.28 ]","-0.42 [ -0.51 , -0.33 ]","-0.38 [ -0.51 , -0.26 ]","-0.21 [ -0.3 , -0.13 ]","-0.38 [ -0.46 , -0.3 ]","-0.43 [ -0.56 , -0.3 ]","2 [ 0.51 , 3.5 ]","-0.78 [ -0.92 , -0.64 ]","-0.56 [ -0.63 , -0.49 ]"
"SexM","0.0033 [ -0.092 , 0.099 ]","-0.01 [ -0.093 , 0.072 ]","-0.049 [ -0.15 , 0.057 ]","0.044 [ -0.061 , 0.15 ]","-0.027 [ -0.11 , 0.057 ]","0.0037 [ -0.11 , 0.12 ]","-0.0049 [ -0.081 , 0.072 ]","-0.0091 [ -0.083 , 0.065 ]","0.049 [ -0.073 , 0.17 ]","-0.58 [ -1.9 , 0.8 ]","-0.042 [ -0.17 , 0.09 ]","0.049 [ -0.015 , 0.11 ]"
"Age","-0.035 [ -0.053 , -0.018 ]","-0.035 [ -0.05 , -0.02 ]","-0.038 [ -0.056 , -0.019 ]","-0.038 [ -0.057 , -0.019 ]","-0.034 [ -0.049 , -0.019 ]","-0.028 [ -0.048 , -0.0072 ]","-0.016 [ -0.029 , -0.0023 ]","-0.0096 [ -0.022 , 0.0031 ]","-0.041 [ -0.062 , -0.019 ]","-0.077 [ -0.32 , 0.17 ]","-0.029 [ -0.053 , -0.0057 ]","-0.023 [ -0.034 , -0.012 ]"
"Age2","0.00031 [ 0.00012 , 0.00049 ]","0.00031 [ 0.00015 , 0.00046 ]","0.00031 [ 0.00012 , 5e-04 ]","0.00034 [ 0.00014 , 0.00054 ]","0.00028 [ 0.00013 , 0.00044 ]","0.00024 [ 3.3e-05 , 0.00046 ]","0.00015 [ 9.7e-06 , 0.00029 ]","7.6e-05 [ -5.6e-05 , 0.00021 ]","0.00035 [ 0.00013 , 0.00058 ]","0.00049 [ -0.002 , 0.003 ]","0.00024 [ -7e-06 , 0.00048 ]","0.00021 [ 8.9e-05 , 0.00032 ]"
"R2 change","0.045**","0.049***","0.046**","0.057***","0.048***","0.03*","0.028*","0.006","0.047**","0.001","0.013","0.027***"
