"Parameter","Amygdala","Anterior temporal lobe, medial","Fusiform gyrus","Hippocampus","Parahippocampal and ambient gyri"
"131","131","130","127","129","127"
"StudySV","0.52 [ 0.3 , 0.74 ]","-0.39 [ -0.54 , -0.24 ]","-0.19 [ -0.34 , -0.054 ]","0.35 [ 0.21 , 0.5 ]","-0.25 [ -0.34 , -0.17 ]"
"SexM","0.11 [ -0.1 , 0.32 ]","0.056 [ -0.088 , 0.2 ]","-0.043 [ -0.18 , 0.093 ]","-0.016 [ -0.15 , 0.12 ]","0.028 [ -0.058 , 0.11 ]"
"R2 ","0.136***","0.169***","0.044*","0.148***","0.198***"
"StudySV","0.61 [ 0.4 , 0.82 ]","-0.31 [ -0.45 , -0.17 ]","-0.15 [ -0.28 , -0.011 ]","0.38 [ 0.24 , 0.53 ]","-0.23 [ -0.32 , -0.14 ]"
"SexM","0.093 [ -0.11 , 0.29 ]","0.039 [ -0.09 , 0.17 ]","-0.048 [ -0.18 , 0.081 ]","-0.024 [ -0.16 , 0.11 ]","0.024 [ -0.06 , 0.11 ]"
"Age","-0.013 [ -0.018 , -0.0066 ]","-0.011 [ -0.015 , -0.0069 ]","-0.0072 [ -0.011 , -0.0034 ]","-0.0037 [ -0.0078 , 0.00038 ]","-0.0033 [ -0.0058 , -0.00076 ]"
"R2 change ","0.102***","0.162***","0.097***","0.021","0.041*"
"StudySV","0.6 [ 0.39 , 0.81 ]","-0.32 [ -0.45 , -0.18 ]","-0.17 [ -0.3 , -0.032 ]","0.39 [ 0.24 , 0.54 ]","-0.24 [ -0.32 , -0.15 ]"
"SexM","0.095 [ -0.1 , 0.29 ]","0.042 [ -0.086 , 0.17 ]","-0.041 [ -0.17 , 0.085 ]","-0.025 [ -0.16 , 0.11 ]","0.026 [ -0.058 , 0.11 ]"
"Age","-0.037 [ -0.072 , -0.0011 ]","-0.032 [ -0.054 , -0.0091 ]","-0.037 [ -0.06 , -0.015 ]","0.01 [ -0.014 , 0.035 ]","-0.018 [ -0.032 , -0.0029 ]"
"Age2","0.00026 [ -0.00012 , 0.00063 ]","0.00022 [ -1.4e-05 , 0.00046 ]","0.00032 [ 8.7e-05 , 0.00055 ]","-0.00015 [ -4e-04 , 1e-04 ]","0.00015 [ -1.1e-06 , 3e-04 ]"
"R2 change","0.011","0.018","0.049**","0.009","0.023"
