"Parameter","Caudate nucleus","Insula","Pallidum","Putamen","Thalamus","Ventral striatum"
"StudySV","-2.8 [ -4.6 , -0.93 ]","-0.32 [ -0.55 , -0.092 ]","2.6 [ 1.5 , 3.8 ]","-0.93 [ -2.7 , 0.86 ]","-0.077 [ -0.22 , 0.063 ]","5.7 [ 3 , 8.5 ]"
"SexM","-0.83 [ -2.6 , 0.93 ]","-0.031 [ -0.25 , 0.19 ]","-0.97 [ -2.1 , 0.15 ]","0.052 [ -1.7 , 1.8 ]","-0.13 [ -0.27 , 0.0032 ]","-1.9 [ -4.5 , 0.76 ]"
"R2 ","0.055*","0.043*","0.151***","-0.007","0.02","0.124***"
"StudySV","-1.6 [ -3.2 , -0.0061 ]","-0.18 [ -0.38 , 0.029 ]","2.8 [ 1.6 , 4 ]","0.07 [ -1.6 , 1.7 ]","-0.025 [ -0.16 , 0.11 ]","6.6 [ 3.9 , 9.4 ]"
"SexM","-0.99 [ -2.5 , 0.52 ]","-0.065 [ -0.26 , 0.13 ]","-1 [ -2.1 , 0.12 ]","-0.084 [ -1.6 , 1.4 ]","-0.14 [ -0.27 , -0.012 ]","-2 [ -4.6 , 0.55 ]"
"Age","-0.15 [ -0.2 , -0.11 ]","-0.018 [ -0.024 , -0.012 ]","-0.022 [ -0.055 , 0.011 ]","-0.13 [ -0.18 , -0.088 ]","-0.0071 [ -0.011 , -0.0033 ]","-0.1 [ -0.18 , -0.027 ]"
"R2 change ","0.248***","0.214***","0.011","0.212***","0.097***","0.047**"
"StudySV","-1.7 [ -3.3 , -0.13 ]","-0.2 [ -0.4 , 0.0059 ]","2.8 [ 1.6 , 4 ]","-0.092 [ -1.7 , 1.5 ]","-0.028 [ -0.17 , 0.11 ]","6.6 [ 3.8 , 9.4 ]"
"SexM","-0.97 [ -2.5 , 0.53 ]","-0.062 [ -0.25 , 0.13 ]","-1 [ -2.1 , 0.11 ]","0.0066 [ -1.5 , 1.5 ]","-0.14 [ -0.27 , -0.011 ]","-2 [ -4.6 , 0.59 ]"
"Age","-0.41 [ -0.68 , -0.14 ]","-0.065 [ -0.099 , -0.031 ]","0.038 [ -0.16 , 0.24 ]","-0.53 [ -0.79 , -0.27 ]","-0.014 [ -0.036 , 0.0091 ]","-0.31 [ -0.77 , 0.15 ]"
"Age2","0.0027 [ -6.9e-05 , 0.0055 ]","5e-04 [ 0.00015 , 0.00085 ]","-0.00063 [ -0.0027 , 0.0014 ]","0.0042 [ 0.0014 , 0.0069 ]","6.8e-05 [ -0.00017 , 3e-04 ]","0.0022 [ -0.0026 , 0.0069 ]"
"R2 change","0.02","0.044**","0.002","0.053**","0.002","0.005"
